abbreviatedAddress,address/city,address/zipcode,bathrooms,bedrooms,livingArea,description,dateSold,daysOnZillow,price,lastSoldPrice,yearSold
16416 NE Hoyt St,Portland,97230,2.0,3.0,1800.0,"This 1800 sq ft ranch features 3 bedrooms and 2 baths. Enter into the home through a ramped, covered porch area into the livingroom with hardwood floors, built in cabinetry and gas fireplace. The spacious family room with a corner fireplace leads to the bonus room with built in cabinets and tons of storage with a great view of the fully fenced private back yard. Enjoy the enclosed sunporch. The master bedroom has an attached bathroom with widened door and a walk in shower.",2021-02-23 22:40:00,111.0,415000,415000,2021
840 NE 179th Ave,Portland,97230,1.0,3.0,1032.0,"840 NE 179th Ave, Portland, OR 97230 is a single family home that contains 1,032 sq ft and was built in 1969. It contains 3 bedrooms and 1 bathroom. This home last sold for $325,000 in February 2021. 
 
The Zestimate for this house is $339,099. The Rent Zestimate for this home is $1,895/mo.",2021-02-18 01:00:00,117.0,325000,325000,2021
18350 NE Everett Ct,Portland,97230,1.0,3.0,960.0,"One-level ranch style home on large corner lot, with newer metal fenced front yard. Recently upgraded family room and Kitchen with new paint, new laminate flooring.  3beds 1bath, living room, Dinning.  big laundry room with lots of storage, . Large  back yards for kids to play,  has 2 tool sheds. RV parking, easy access to shopping, freeway, and public transportation. Multiple offers, sellers will review offers Monday 1/11/2021 at 8 pm ,deadline for offers Monday 5PM put your highest and best.",2021-02-12 00:33:20,123.0,325000,325000,2021
17814 NE Davis St,Portland,97230,2.0,4.0,1888.0,"Beautiful original oak floors in this spacious home.  4 bedrooms and 2 baths, plus large bonus area downstairs.  Wood fireplace and large picture window in living room.  Large yard.  Ready for your updates!",2021-02-04 00:53:20,131.0,300000,300000,2021
344 NE 192nd Ave,Portland,97230,4.0,8.0,3300.0,Very Large 8 bedrooms Home on a huge dividable lot. Perfect for a large family of a faster facility.  Tax lots R241137 and R241139 sold together. Bring offers Seller motivated.,2021-01-21 23:00:00,144.0,590000,590000,2021
1147 SE 175th Pl,Portland,97233,3.0,5.0,2160.0,"Tastefully remodeled throughout this spacious home on a quiet neighborhood street! Hard to find 5-bedroom home has enough room for all. Beautiful hardwoods throughout the home. Remodeled kitchen offers plenty of storage, light, and views of the backyard. Entertain and relax in both the living and family rooms. Head outside into your own oasis with garden, raised beds, chicken coop, beehives, covered deck, and oak, plum, fig, cherry trees. Rockwood Central Park just across the street, a must see!",2021-01-21 23:00:00,144.0,415000,415000,2021
19810 NE Multnomah St,Portland,97230,2.0,4.0,1474.0,Very well maintained and professionally remodeled home in established neighborhood. Landscaped with many extras throughout.This is a well built home that is move-in ready.,2021-01-21 00:46:40,145.0,187500,187500,2021
1153 NE 193rd Ave,Portland,97230,1.0,3.0,988.0,"Move-in ready & charming one level home stylishly updated throughout. Open and airy as you enter with views of living, dining, & the lovely backyard.  Natural light flows through newer vinyl siding windows. Large master rm leads out to deck through french doors. Clean and crisp white kitchen with granite counter-tops & white subway tile backsplash.  Updated bath.  Newer laminate flooring. Fully fenced yard w/ raised garden beds and sprinkler system! Covered patio for year-round use. A must see!",2020-12-10 22:40:00,186.0,349900,349900,2020
1611 SE 182nd Ave,Portland,97233,2.0,3.0,1901.0,"Spacious Daylight Ranch with over 1900 finished Sq. Ft. 3 Bedrooms with Bonus Room. Featuring Two Kitchens! Beautiful Hardwood floors through-out. Two cozy fireplaces and even a pellet stove. A Sun room for coffee or tea in the mornings! Motivated Seller! Full double Garage and fenced back yard for pets, privacy and entertainment with your very own bar! Needs  TLC. Sold ""As is."" Close to the Bus line. Across the street from a Park. Great Family Home!  Priced to sell! A great Bargain.",2020-12-08 23:26:40,188.0,289900,289900,2020
904 NE 191st Ave,Portland,97230,1.0,3.0,912.0,"Beautifully updated and well maintained ranch on large corner lot. Original hardwood floors. Large fenced backyard with covered patio. Park a block away. 3 year old front door, slider, elect box, marble on fireplace, tile floors in kit & bath, appliances, all light fixtures, counters, sink & faucet, glass backsplash! Remodeled bath,hot water heater and much more! Spacious laundry room too!",2020-11-24 23:20:00,202.0,343000,343000,2020
17227 SE Pine St,Portland,97233,3.0,3.0,1236.0,"Fantastic townhome with many options for use. Continue to rent out, as tenants would like to stay, or live in. New exterior paint, master suite with walk in closet and full bathroom upstairs. Efficient kitchen with microwave oven with vent hood, refrigerator, dishwasher, and garbage disposal. Laundry with half bath on main, storage under stairs and attached one car garage. Central Air conditioning. Large backyard. Close to restaurants, shopping, public transportation, and MAX access.",2020-11-24 23:20:00,202.0,282000,282000,2020
271 NE 192nd Ave,Portland,97230,2.0,3.0,1272.0,Cute starter home with large lot. Double gate with RV parking. Kitchen open to living room and dinning room. large laundry room. Stainless appliances. Convenient location for public transportation.,2020-11-19 23:53:20,207.0,330000,330000,2020
1640 SE 176th Ave,Portland,97233,2.0,3.0,1568.0,"Great manuf-home floor plan. Offers skylights, open kitchen, large family room, 3 bedrooms, 2 bath, lg utility room w/ room for freezer, storage, and door outside. Roof replaced in 2019. Pole barn w/ RV hookup and large garage doors. Room for all your toys! Beautiful Maple tree, tons of potential. Interior photos coming soon.",2020-11-13 01:13:20,214.0,330000,330000,2020
16695 NE Halsey St #3,Portland,97230,2.0,2.0,1239.0,"Gorgeous High end remodeled townhome. Only 8 units of quiet,well-maintained all owner-occupied units. Newly finished wood floors, new carpet, fresh paint, sparkling walk in showers move-in ready! Stainless Appliances included. Vaulted ceilings. Air-conditioning. Private landscaped yard with an intimate patio outdoor space perfect for container gardening. It will be your favorite spot for alfresco dining.  EZ access to I-84 and bus line. All this for under $300,000 hurry!",2020-11-10 01:00:00,217.0,290000,290000,2020
17938 SE Stark St,Portland,97233,1.0,3.0,1224.0,"17938 SE Stark St, Portland, OR 97233 is a single family home that contains 1,224 sq ft and was built in 1956. It contains 1 bathroom. This home last sold for $300,000 in November 2020. 
 
The Zestimate for this house is $368,833. The Rent Zestimate for this home is $1,695/mo.",2020-11-09 00:00:00,218.0,300000,300000,2020
714 SE 180th Ave,Portland,97233,2.0,4.0,1445.0,"Your new home awaits! Step into this 4 beds, 2 bath home that is fully remodeled and waiting for a new owner. You will be amazed by the quality of work done to this house w/permits. The master bedroom suite has separate entrance and could possible be used as ADU. Enjoy your specious backyard perfect for family gathering, activities, w/room for garden. One level living at its finest. Open, easy to live in floor plan w/lots of windows and natural lights. Enjoy short walk to Rockwood Central park.",2020-11-04 22:46:40,222.0,366500,366500,2020
35 SE 167th Ave,Portland,97233,2.0,3.0,1014.0,"Move in ready single level ranch on oversized fully fenced corner lot with paved patio parking access for boat/RV storage in back. Updated kitchen with great storage, Master with half bath, wood floors, mid-century details with large living room window and wood burning fireplace. Only 1 block to MAX line, minutes to downtown",2020-11-05 23:46:40,221.0,335000,335000,2020
935 NE 194th Ave,Portland,97230,2.0,3.0,1903.0,"Come and view this well-kept one story home that features an open floor plan. The Kitchen opens up to the dining, living, and first family room. The large second family room has multi-generational living/ADU potential. Large fenced backyard with a covered patio is perfect for an evening bbq. Convenient location on a quiet street close to the Glisan Busline and I-84. Take a nice walk to Salish Ponds. Home is near Shopping/Grocery/Coffee. Few one level homes available this size and price.",2020-11-02 23:33:20,224.0,374900,374900,2020
19609 NE Marine Dr SLIP A2,Portland,97230,1.5,2.0,1200.0,"NW contemporary craftsman floating home with great room design and soaring ceilings.  Open kitchen with solid wood craftsman cabinets, eating bar, and dining nook.  Vaulted living with bamboo flooring opens to 1/2 story lofted bedroom above.  Large master suite with walk-in shower and closet.  Natural ventilation,  daylighting, and sound control strategies used throughout.  Kitchen opens to west facing dining deck, gas bbq ready.  Large 18' x 20' rooftop deck.  AC, gas FP, and electronic boat lift ready.  Boat lift will accomodate 16' - 18'.  Lots of storage.",2020-10-27 23:06:40,230.0,267000,267000,2020
259 SE 162nd Ave #109,Portland,97233,1.0,2.0,820.0,"Freshly updated condo in SE Portland. New hardwood flooring and paint throughout this charming condo. Enjoy your covered outdoor private patio. Condo comes with a deeded covered parking spot that is wheelchair accessible and an extra storage room. All appliances included with laundry located in the unit! Walking distance to MAX, shopping and schools. Unit is on ground level and is wheelchair accessible if needed with a roll-in shower.",2020-10-27 23:06:40,230.0,180000,180000,2020
18436 SE Mill St,Portland,97233,2.0,4.0,1972.0,"Nicely updated & spacious home on a .26 acre lot- possibly dividable? Check w/ city/county. Room for everyone w/ a versatile floor plan. Large bonus room AKA 4th bedroom (needs closet). Newer kitchen, 1 1/2 baths, updated millwork, paint + new LVP & carpet. Massive laundry room w/ custom cabinets! Newer metal roof, hot water heater & vinyl windows. Rv/boat/toy parking! Huge covered front & back porch! This is a charmer!",2020-10-27 00:53:20,231.0,386000,386000,2020
894 NE 166th Ave,Portland,97230,3.0,4.0,2726.0,"Spacious home, great floor plan, light & bright. 4 large bedrooms, 2.1 bath plus huge bonus room. Featuring high ceiling, 2 story high entry, double skylights, open rail stair case, hardwood floor on the main level, stairs and hallway upstairs. Family room with fireplace connects to the kitchen with nook and slider to large private backyard with tool shed. Master suite with walk-in closet, vaulted ceiling. Ceiling fans, security system, sound system, AC. Super clean. OH 9/27 from 1-3pm",2020-10-30 01:06:40,228.0,470000,470000,2020
823 NE 199th Ave,Portland,97230,3.0,4.0,1948.0,"Click On Vtour for 3D Tour. Charming Home in North Gresham. Wood-burning fireplace & picture window to front in vaulted living. Light filled dining w access to patio through sliding doors. Gas range in updated kitchen. Remodeled full bath.Main suite & 2 generous spare beds on main w plenty of closet spaces. Spacious family down w gas heating unit & closet space. 4th bed, laundry, & spare half bath down. Storage space in garage. Large fenced backyard features spacious patio, & blueberry bushes.",2020-10-27 00:53:20,231.0,385000,385000,2020
16905 NE Couch Ct,Portland,97230,1.0,3.0,1410.0,"Clean,stylishly remodeled kitchen & bathroom in this spacious one level home.Quartz counters with coffee bar & pass through eating bar.Located at the end of the street with a one car garage with new door.Large carport for extra parking.Exterior was just painted.6 year old roof.Windows,insulation,plumbing, electrical updates,including panel.The lot is almost a quarter of an acre with a huge, completely fenced back yard.Concrete patio & shade trees for entertaining.Home Warranty.Come see it!",2020-10-27 00:53:20,231.0,347900,347900,2020
2133 NE 166th Dr,Portland,97230,3.0,4.0,2326.0,"Step into one of Portland's best kept secrets and tour the Sandstone neighborhood.  Tucked away on well-kept streets, green yards and in a quiet neighborhood, Sandstone is your neighborhood. This home has been well kept and maintained by the same owner for nearly all it's life & it shows wonderfully! Perfect layout with 3 bedrooms upstairs, main level bedroom or office & kitchen great room with french doors to a private backyard. This home will not disappoint! 2 Asian pear trees and 1 persimmon.",2020-10-25 23:53:20,232.0,469900,469900,2020
1131 NE 195th Ave,Portland,97230,2.0,4.0,2143.0,"This spacious home provides room for all your toys, tools, & any personal touches you'd like to introduce! The living room, dining room, & kitchen are expansive & bathed in natural light; they flow easily into a covered backyard deck, ideal for at-home entertaining, & a roomy backyard. The high-ceilinged basement features a sprawling bonus room - potential for an at-home entertainment center - while the two car garage is perfect for a shop space! 2019 30 year roof; newer Milgard windows!",2020-10-19 23:26:40,238.0,360000,360000,2020
17011 NE Everett St,Portland,97230,2.0,4.0,1388.0,"What a find! A real solid home with style. It has 4 beds and 2 bathrooms tucked in great neighborhood. It's Super clean and move in ready. Bedrooms on the main and upstairs. Fully fenced back yard and shed as well. Shopping, Transit and freeway access is super convenient. Come see this one today.",2020-10-19 23:26:40,238.0,349000,349000,2020
18649 NE Multnomah St,Portland,97230,3.0,3.0,1830.0,"Wonderful traditional newer house with many upgrades. Located next to open space, near parks, with an easy freeway access. Huge vaulted loft. Utility room on the second story. Private master bedroom has vaulted ceilings, walk-in closet and double sink vanity. Great room plan throughout with gas fire place, granite kitchen counter tops, island, hardwood floors, Tile, custom Rails, SS appliances and much more.",2020-10-19 23:26:40,238.0,397500,397500,2020
260 NE 197th Ave,Portland,97230,2.0,3.0,981.0,"Move in ready! Ranch style 3br, 1.5ba home with many updated amenities. New luxury vinyl floor throughout. New plumbing, all new window trim, closets, interior raised panel doors and interior/exterior paint. All new window coverings to be installed. New cement driveway. Cyclone fenced back yard, patio w/ gas stub BBQ. Newer garage doors/opener. Landscape updated and gravel added to side of home to back fence. Owner is licensed Oregon RE broker",2020-10-13 23:00:00,244.0,340000,340000,2020
420-440 NE 202nd Ave,Portland,97230,1.0,1.0,1582.0,"420-440 NE 202nd Ave, Portland, OR 97230 is a single family home that contains 1,582 sq ft and was built in 1948. It contains 1 bedroom and 1 bathroom. This home last sold for $300,000 in September 2020. 
 
The Zestimate for this house is $329,848. The Rent Zestimate for this home is $1,650/mo.",2020-09-21 23:13:20,266.0,300000,300000,2020
18635 SE Stephens Cir,Portland,97233,2.0,4.0,1534.0,"Charming, well maintained one level ranch on cul-de-sac with 4 bedrooms and 2 full bathrooms. Large living room and formal dining room. Light, bright kitchen with eating bar, granite and lots of storage space. Fenced backyard with covered patio, lots of room for entertaining, fire pit, tool shed and nicely landscaped. Detached home office or art studio! This home is move in ready!",2020-09-15 00:33:20,273.0,380000,380000,2020
18566 NE Wasco St,Portland,97230,1.5,2.0,1104.0,"18566 NE Wasco St, Portland, OR 97230 is a condo home that contains 1,104 sq ft and was built in 1982. It contains 2 bedrooms and 1.5 bathrooms. This home last sold for $185,000 in September 2020. 
 
The Zestimate for this house is $270,419. The Rent Zestimate for this home is $1,595/mo.",2020-09-10 01:06:40,278.0,185000,185000,2020
1222 NE 195th Ave,Portland,97230,3.0,3.0,2121.0,"Updated and spacious home located on private lot in a great neighborhood! This home has everything you have been looking for: Oversized family and living rooms, fully updated flooring coverings throughout, new paint, new counter tops and new electrical panel! 2 fireplaces for staying cozy warm in the winter & cold blowing A/C for the summer months! Additional hobby/flex room and storage rooms too! Hard to find super sized RV Pad! You don't want to miss this house!",2020-08-27 23:13:20,291.0,375000,375000,2020
16909 NE Halsey St,Portland,97230,3.0,2.0,1528.0,"Well maintained Townhouse/Row style in a small complex ready for you to call home. Enjoy 2 master bdrm(s) upstairs, fits king size beds w/ room for more. Park your car in the over sized tandem garage and use the extra entry level for a  exercise/weight rm or work space. Main level living is open with high ceilings gas fP w/ a deck off the living rm. Cook meals in the U-shaped kitchen w/ a two-chair breakfast bar.  Quiet inside home & right on bus line #77. Offers due 7.27 Mon by 12pm.",2020-08-27 01:00:00,292.0,269000,269000,2020
25-27 NE 179th Ave,Portland,97230,3.0,4.0,1936.0,"25-27 NE 179th Ave, Portland, OR 97230 is a apartment home that contains 1,936 sq ft and was built in 1995. It contains 4 bedrooms and 3 bathrooms. This home last sold for $360,000 in August 2020. 
 
The Rent Zestimate for this home is $1,595/mo.",2020-08-16 23:20:00,302.0,360000,360000,2020
18330 SE Yamhill St,Portland,97233,2.0,3.0,1067.0,"This Cute Home was Completely Remodeled when Sellers bought 5 years ago & has been Gently Lived in. Granite Countertops, SS Appliances, New Cabinets & Laminate Floors. There is 26 x 12 room in Attic. Covered Front Porch & Back Patio. Huge Yard has RV Parking w/Sewer Hookup & 30 AMP Power, Garden Beds, Fruit Trees (Plum, Apple, Cherry), Grape, Blueberries & a Firepit. The Garage is Oversized & has a Workbench. A new Community Center is being Built up the Street. Near Max, Shopping & Freeways.",2020-08-13 23:06:40,305.0,326000,326000,2020
946 NE 191st Ave,Portland,97230,1.0,3.0,928.0,Sweet as can be updated ranch on a mighty .24 acre lot. Modern kitchen with stainless steel appliances & cabinets for all of your organizing needs. Classic serene bathroom. Beautiful refinished hardwood floors throughout. Fenced backyard with plenty of room to entertain day & night. Garage converted to spacious high-functioning laundry room & storage area. Kirk Park nearby & easy access to highway.,2020-08-07 00:26:40,312.0,339000,339000,2020
1014 NE 177th Ave,Portland,97230,2.0,3.0,1368.0,"Great starter home in a good location. On A quiet road, with appliances. Including W/D. Nice deck with hot tub.",2020-07-30 23:00:00,319.0,345000,345000,2020
